"SUBJECT","Subject","LOCATION","Country","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1959-06","Jun-1959","IDX","Index","0","Units",,,102.4484,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1959-07","Jul-1959","IDX","Index","0","Units",,,101.5154,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1959-08","Aug-1959","IDX","Index","0","Units",,,100.3822,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1959-09","Sep-1959","IDX","Index","0","Units",,,99.51282,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1959-10","Oct-1959","IDX","Index","0","Units",,,99.39383,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1959-11","Nov-1959","IDX","Index","0","Units",,,99.87881,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1959-12","Dec-1959","IDX","Index","0","Units",,,100.6213,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1960-01","Jan-1960","IDX","Index","0","Units",,,100.7915,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1960-02","Feb-1960","IDX","Index","0","Units",,,100.0389,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1960-03","Mar-1960","IDX","Index","0","Units",,,99.06153,,
